barcode_01	219	238	562	958
barcode_02	0	226	706	675
barcode_03	308	307	493	800
barcode_04	116	301	638	481
barcode_05	196	137	400	681
barcode_06	851	634	2036	1206
barcode_07	349	195	898	434
barcode_08	898	1048	1261	2117
barcode_09	851	2417	1847	3644
barcode_10	380	441	937	1892
barcode_11	200	141	468	841
barcode_12	192	199	895	473
barcode_13	679	721	1334	2150
barcode_14	104	209	818	481
barcode_15	869	1483	1956	2079
barcode_16	249	156	773	442
barcode_17	1041	833	1415	2072
barcode_18	208	118	454	783
barcode_19	114	209	916	454
barcode_20	307	833	1373	2070
barcode_21	83	126	622	748
barcode_22	286	82	907	646
barcode_23	182	248	822	548
barcode_24	428	441	866	1499
barcode_25	233	346	1248	681
barcode_26	253	273	904	494
barcode_27	428	101	893	1196
barcode_28	90	149	683	568
barcode_29	369	1019	1148	2029
barcode_30	414	494	988	1534
barcode_31	331	81	569	830
barcode_32	207	331	779	568
barcode_33	631	753	1675	1305
barcode_34	453	316	1338	638
barcode_35	846	793	1802	1159
barcode_36	758	484	1800	864
barcode_37	808	604	2016	1200
barcode_38	984	740	1577	3354
barcode_39	403	76	608	951
barcode_40	77	403	1024	607
barcode_41	670	741	1822	1224
barcode_42	647	683	1611	1033
barcode_43	1179	852	2315	1412
barcode_44	796	711	2295	1315
barcode_45	652	302	1646	1037
barcode_46	674	529	1882	981
barcode_47	728	572	1465	959
barcode_48	668	758	1743	1261
barcode_49	1183	1337	2534	1963
barcode_50	1048	1238	2432	1719
barcode_51	1756	1363	2829	1856
barcode_52	575	619	1619	971
barcode_53	814	842	1246	1850
barcode_54	1239	2182	1723	3277
barcode_55	994	751	2265	1259
barcode_56	470	979	1670	1540
barcode_57	849	741	1947	1520
barcode_58	518	561	1729	967
barcode_59	917	740	2237	1243
barcode_60	919	564	2441	1391
barcode_61	545	511	1746	1047
barcode_62	740	458	1501	1877
barcode_63	767	557	1578	1151
barcode_64	591	1248	1268	2670
barcode_65	287	339	656	1172
barcode_66	0	437	765	659
barcode_67	0	569	1884	2364
barcode_68	0	719	721	977
barcode_69	0	930	691	1302
barcode_70	746	436	1128	632
barcode_71	0	393	1740	2152
barcode_72	432	0	1992	1672
barcode_73	744	562	1816	1050
